,회사명,거래소코드,회계년도,산업코드,회계년월,평가일,업종코드,소속코드,상장일,상장폐지일,신용등급,감사의견코드,감사의견,산업대분류,회계년도_new
56,(주)코스모스피엘씨,53170,2008/12,105802,2008/12,2008/04/23,01,04,2002/01/10,2009/04/30,B-,DU,"수익모델 창출 지연, 중단사업 자산 매각 지연 등으로 영업손실 2,583백만원, 당기순손실 31,491백만원 발생함. 또한 채무불이행등으로 자산이 압류되는 등 회사의 계속기업으로서 존속능력에 중대한 의문을 제기함.",10,2008
157,(주)아이디에이치,26230,2008/12,032902,,,01,04,1995/10/06,2009/04/29,,DU,"유동부채가 유동자산을 825억원 및 총부채가 총자산을 732억만큼 초과하고, 2008년 10월31일자로 회생절차개시결정 등의 상황은 계속기업으로서 존속능력에 중대한 의문을 제기함.",03,2008
167,(주)에프아이투어,47370,2008/12,032604,,,01,04,2001/05/29,2009/04/11,,DU,"영업손실 346백만원, 당기순손실 19,598백만원 발생, 유동부채가 유동자산을 11,727백만원 초과하며 지급보증액 24,145백만원 우발채무 존재함. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
54,모빌링크텔레콤(주),41310,2008/12,032604,2008/12,2008/06/20,01,04,2000/05/09,2009/04/23,B+,DU,"매출채권 등 일부의 실재성과 관련하여 충분한 감사증거를 확인할 수 없었고, 총자산을 초과하는 총부채액 10,127백만원 등의 상황은 계속기업으로서 존속능력에 중대한 의문을 제기함.",03,2008
177,(주)자강,36790,2008/12,032604,,,01,04,1999/12/16,2009/05/15,,DU,"영업손실 6,681백만원 및 당기순손실 28,795백만원 발생하고, 유동부채가 유동자산을 4,331백만원 초과하며 차입금 상환이 불이행되고 있음. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
52,(주)도움,78610,2008/12,032604,2008/12,2008/07/18,01,04,2005/05/09,2009/04/11,CCC,DU,"영업손실은 93억원 당기순손실 546억원, 유동부채가 유동자산을 375억원 초과하며, 총부채가 총자산을 198억원 초과함. 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
120,(주)기린,6070,2008/12,031007,,,01,04,1989/06/20,2009/05/13,,DU,"유동자산을 초과하는 유동부채액 44,188백만원, 미처리결손금 24,522백만원, 3년간 영업손실이 발생하여, 누적영업손실액이 24,709백만원임. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
50,(주)엑스씨이,81500,2008/12,106201,2008/12,2008/08/28,01,04,2006/07/21,2009/04/29,p-B+/Stable,DU,"급격한 매출 감소 등으로 영업손실 및 당기순손실이 발생하고, 유동부채가 유동자산을 초과하는 등 이러한 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",10,2008
184,(주)쿨투,56020,2008/12,032701,,,01,04,2003/07/04,2009/04/29,,DU,"영업손실 11,455백만원, 당기순손실 40,143백만원 발생, 유동부채가 유동자산을 42,516백만원 초과, 만기에 상환못한 차입금이 11,657백만원 있음. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
187,(주)포이보스,38810,2008/12,031802,,,01,04,2000/05/09,2009/04/11,,DU,"제3자 채무에 대한 지급보증 19,368백만원과 각종  투자원리금 상환 지급보증 12,042백만원 등 우발채무 31,410백만원 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2008
48,(주)디에스피이엔티,16040,2008/12,033003,2008/12,2008/12/18,01,04,1993/12/07,2009/04/11,D,DU,유동부채가 유동자산을 110억원만큼 초과하고 누적결손으로 인하여 총부채가 총자산을 81억원 초과하며 2008년 회생절차를 진행중임. 이러한 사아황은 게속기업으로서의 존속능력에 중대한 의문을 제기함.,03,2008
49,(주)씨앤중공업,8400,2008/12,033002,2008/12,2008/10/27,01,04,1987/11/18,2009/05/13,B,DU,"당기 영업손실과 당기순손실 발생 및 유동부채가 유동자산을 초과, 관계회사에 대한 지급보증액에 대한 우발채무를  가지고 있는 등의 상황은 계속기업으로서 존속능력에 중대한 의문을 제기함",03,2008
182,(주)청람디지탈,35270,2007/12,032605,,,01,04,1999/08/13,2008/04/23,,DU,"당기 중 10,639백만원의영업손실, 18,021백만원의 당기순손실 및 21,202백만원의 부의 영업현금흐름을 시현하고 있는 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2007
213,플래닛팔이(주),57330,2007/12,032801,,,01,04,2001/12/20,2008/04/23,,DU,"자산총액의 72%를 차지한 개발성격의 무형자산에 대한 신뢰성을 부여할 수 없고, 대표이사 등의 구속 등의 상황은 계속기업으로서 존속능력에 중대한 의문 제기함.",03,2007
246,한국통신데이타(주),45760,2007/12,105802,,,01,04,2002/04/23,2008/06/13,,DS,현금및현금성자산 중 우발채무 및 충당부채의 계상에 관련된 정기예금에 대하여 감사범위제한 때문에 회계감사기준에서 요구하는 적절한 감사절차를 수행할 수 없었음.,10,2007
84,(주)두림티앤씨,33330,2007/12,032202,,,01,04,1997/11/03,2008/05/03,,DS,"감사범위의 제한으로 매출거래의 실재성, 지분법적용투자주식과 관련한 기중 거래의 적정석 등에 대해 회계감사기분에서 요구하는 감사절차를 취하지 못함.",03,2007
